"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Penelope obscura","Galliformes","Cracidae","Penelope","obscura",0,1,1,1,1
"Penelope bridgesi","Galliformes","Cracidae","Penelope","bridgesi",1,0,0,0,0
"Penelope pileata","Galliformes","Cracidae","Penelope","pileata",NA,NA,NA,NA,NA
"Penelope ochrogaster","Galliformes","Cracidae","Penelope","ochrogaster",NA,NA,NA,NA,NA
"Penelope jacucaca","Galliformes","Cracidae","Penelope","jacucaca",0,1,1,0,0
"Pipile pipile","Galliformes","Cracidae","Pipile","pipile",0,0,1,1,1
"Pipile cumanensis","Galliformes","Cracidae","Pipile","cumanensis",0,1,1,0,0
"Pipile grayi","Galliformes","Cracidae","Pipile","grayi",0,1,0,0,0
"Pipile cujubi","Galliformes","Cracidae","Pipile","cujubi",0,1,0,0,0
"Pipile jacutinga","Galliformes","Cracidae","Pipile","jacutinga",0,0,1,1,1
